trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-251.61210590535745,"{0: 16, 1: 2, 2: 6, 3: 2, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-97.94811211700734,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-134.8593004855109,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-138.57875671152868,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-97.04023979210258,"{0: 20, 1: 1, 2: 7, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,10,-71.30580902485809,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-94.42924262818234,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-56.322332913408545,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-58.16575304941777,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,6,-23.0465707379461,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-34.357077469720444,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,8,2.113482455768675,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-123.1957090582773,"{0: 15, 1: 0, 2: 0, 3: 3, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,17,-10.089264777749383,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,13,-1.5018141150598772,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,7,16.45225477255252,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,9,17.501094828687492,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,5,36.261074421117954,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,14,20.34951836910765,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,7.801486876498599,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",20,6,23.422793872995506,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,9,-7.338925690446312,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,15,23.367788284815198,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,8,43.73958336750066,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,1,42.291301715796514,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,8,-9.979005877804141,"{0: 20, 1: 0, 2: 0, 3: 2, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,38.30309527650351,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,3,33.62269184093221,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,36.39470983715435,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,0,41.65568346074516,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
