trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9851119396030626}",25,0,-119.71189310598002,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.9704455335485082}",30,0,-190.84366210236672,"{0: 13, 1: 3, 2: 11, 3: 2, 4: 1}",0
3,False,"{'a': 0.8, 'e': 0.9559974818331}",25,0,-164.4732639720599,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.8, 'e': 0.9417645335842487}",20,0,-30.698478014823348,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.9277434863285529}",25,0,-119.08315568050752,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.9139311852712282}",30,0,-138.91980122921058,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.9003245225862656}",20,8,-37.318672067841035,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
8,False,"{'a': 0.8, 'e': 0.8869204367171575}",20,0,-98.17253277954057,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.8737159116880344}",20,0,-79.88190050665062,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.8607079764250578}",20,0,-139.36629892645936,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.8, 'e': 0.8478937040879159}",20,0,-46.64134080125057,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.835270211411272}",25,0,-85.64915435922785,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.8, 'e': 0.8228346580560184}",30,0,-99.18546633361566,"{0: 18, 1: 2, 2: 9, 3: 1, 4: 0}",0
14,False,"{'a': 0.8, 'e': 0.8105842459701871}",20,0,-117.88529051658101,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
