trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9851119396030626}",20,0,-114.74225580986402,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,0,-116.35805043143117,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9559974818331}",25,0,-182.86698368668345,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9417645335842487}",20,0,-26.093400095473278,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9277434863285529}",25,0,-122.70612393925249,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-212.9782322161941,"{0: 12, 1: 1, 2: 8, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9003245225862656}",25,0,-113.59057008675242,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.8869204367171575}",20,0,-191.99527429108258,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.8737159116880344}",20,0,-132.6714873394572,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-18.4861789405736,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8478937040879159}",25,0,-86.57280692774093,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.835270211411272}",25,0,-97.35289641954554,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8228346580560184}",20,0,-110.7463457826355,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8105842459701871}",30,0,-100.54681586125896,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.7985162187593771}",25,5,-47.460189797796495,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.7866278610665535}",25,0,-200.72607097183513,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.774916497961081}",35,0,-95.65475362004426,"{0: 26, 1: 2, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.7633794943368531}",30,0,-127.76798294345605,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.7520142543193826}",25,0,-134.90402746354277,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,-61.64887927059928,"{0: 12, 1: 6, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,0,-40.91154456926647,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-24.553778417993062,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,-157.78317314727533,"{0: 6, 1: 4, 2: 7, 3: 2, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",30,0,-175.35492942437287,"{0: 14, 1: 8, 2: 5, 3: 1, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",35,0,-267.60883776300676,"{0: 18, 1: 4, 2: 7, 3: 2, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",20,0,-87.30716115235401,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-126.07827716440818,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,0,-241.42618291126425,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 5}",0
9,True,"{'a': 0, 'e': 0}",20,0,-179.03991770272907,"{0: 7, 1: 2, 2: 8, 3: 1, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-50.36330139098896,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
